Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFHT400_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2	HIG,TOP,SMP,B2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu7p5_L2Mu2_Jpsi_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DiPFJetAve100_HFJEC_v2	NoGroup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DoubleMu4_JpsiTrk_Displaced_v2	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_HT350_DisplacedDijet80_DisplacedTrack_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu12_Photon25_CaloIdL_L1ISO_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v2	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v1	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2	TOP,HIG,SMP,B2G	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2	TOP,HIG,SMP,B2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu24_eta2p1_v1	SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele33_CaloIdM_TrackIdM_PFJet30_v2	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_RsqMR270_Rsq0p09_MR200_4jet_v1	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Mu17_Photon30_CaloIdL_L1ISO_v2	HIG	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
